Original_Index,latitude,longitude,date_time,date,common_name,scientific_name,group_size,sst_mean,sst_median,sst_std,sst_min,sst_max,sst_q25,sst_q75
40,38.43284,-73.58463,2025/02/22 10:10:17,2025-02-22,Humpback whale,Megaptera novaeangliae,1,,,,,,,
41,38.43629,-73.57339,2025/02/22 10:15:58,2025-02-22,Humpback whale,Megaptera novaeangliae,1,,,,,,,
46,38.39316,-73.93637,2025/02/22 12:44:00,2025-02-22,North Atlantic right whale,Eubalaena glacialis,8,,,,,,,
119,38.3245,-73.52472,2025/02/22 11:27:40,2025-02-22,Beaked whales,Hyperoodontidae,5,,,,,,,
120,38.33333,-73.51281,2025/02/22 11:28:44,2025-02-22,Beaked whales,Hyperoodontidae,5,,,,,,,
1,38.3193,-73.84825,2025/02/22 14:46:46,2025-02-22,Fin whale,Balaenoptera physalus,1,7.392221927642822,7.359999656677246,0.09516391158103943,7.239999771118164,7.544999599456787,7.324999809265137,7.454999923706055
2,38.31815,-73.85002,2025/02/22 14:50:02,2025-02-22,Fin whale,Balaenoptera physalus,1,7.392221927642822,7.359999656677246,0.09516391158103943,7.239999771118164,7.544999599456787,7.324999809265137,7.454999923706055
3,38.30965,-73.82714,2025/02/22 14:50:41,2025-02-22,Humpback whale,Megaptera novaeangliae,2,7.314444541931152,7.324999809265137,0.12530945241451263,7.134999752044678,7.544999599456787,7.239999771118164,7.355000019073486
7,38.30913,-73.82352,2025/02/22 14:50:47,2025-02-22,Humpback whale,Megaptera novaeangliae,2,7.314444541931152,7.324999809265137,0.12530945241451263,7.134999752044678,7.544999599456787,7.239999771118164,7.355000019073486
17,38.19171,-73.72512,2025/02/22 15:00:43,2025-02-22,Fin whale,Balaenoptera physalus,1,6.811110973358154,6.789999961853027,0.09302863478660583,6.699999809265137,6.960000038146973,6.724999904632568,6.87999963760376
18,38.16393,-73.73656,2025/02/22 15:01:47,2025-02-22,Fin whale,Balaenoptera physalus,1,6.647777557373047,6.724999904632568,0.2078341692686081,6.179999828338623,6.87999963760376,6.659999847412109,6.759999752044678
21,38.23487,-73.82935,2025/02/22 15:07:17,2025-02-22,Fin whale,Balaenoptera physalus,1,7.077777862548828,7.054999828338623,0.13615986704826355,6.87999963760376,7.324999809265137,6.964999675750732,7.139999866485596
22,38.24622,-73.83601,2025/02/22 15:07:43,2025-02-22,Fin whale,Balaenoptera physalus,1,7.178332805633545,7.139999866485596,0.15025906264781952,6.964999675750732,7.429999828338623,7.054999828338623,7.315000057220459
23,38.25892,-73.83506,2025/02/22 15:08:07,2025-02-22,Humpback whale,Megaptera novaeangliae,2,7.274444580078125,7.315000057220459,0.12370311468839645,7.0,7.429999828338623,7.239999771118164,7.355000019073486
31,38.39448,-73.49339,2025/02/22 10:05:28,2025-02-22,Humpback whale,Megaptera novaeangliae,1,6.855000019073486,6.855000019073486,0.1604161113500595,6.625,7.059999942779541,6.744999885559082,6.994999885559082
32,38.38323,-73.50716,2025/02/22 10:06:12,2025-02-22,Humpback whale,Megaptera novaeangliae,1,6.909374713897705,6.917500019073486,0.12099681049585342,6.744999885559082,7.059999942779541,6.8137500286102295,7.009999871253967
40,38.43284,-73.58463,2025/02/22 10:10:17,2025-02-22,Humpback whale,Megaptera novaeangliae,1,7.009444236755371,7.0,0.07566168904304504,6.835000038146973,7.099999904632568,6.984999656677246,7.065000057220459
41,38.43629,-73.57339,2025/02/22 10:15:58,2025-02-22,Humpback whale,Megaptera novaeangliae,1,7.005555629730225,7.054999828338623,0.09349518269300461,6.835000038146973,7.114999771118164,6.984999656677246,7.065000057220459
46,38.39316,-73.93637,2025/02/22 12:44:00,2025-02-22,North Atlantic right whale,Eubalaena glacialis,8,7.77388858795166,7.819999694824219,0.1306772232055664,7.514999866485596,7.940000057220459,7.690000057220459,7.884999752044678
119,38.3245,-73.52472,2025/02/22 11:27:40,2025-02-22,Beaked whales,Hyperoodontidae,5,6.643124580383301,6.6449995040893555,0.07607313245534897,6.524999618530273,6.75,6.581249952316284,6.696249842643738
120,38.33333,-73.51281,2025/02/22 11:28:44,2025-02-22,Beaked whales,Hyperoodontidae,5,6.643124580383301,6.6449995040893555,0.07607313245534897,6.524999618530273,6.75,6.581249952316284,6.696249842643738
1,38.3193,-73.84825,2025/02/22 14:46:46,2025-02-22,Fin whale,Balaenoptera physalus,1,7.415555477142334,7.419999599456787,0.10409515351057053,7.21999979019165,7.569999694824219,7.324999809265137,7.474999904632568
2,38.31815,-73.85002,2025/02/22 14:50:02,2025-02-22,Fin whale,Balaenoptera physalus,1,7.415555477142334,7.419999599456787,0.10409515351057053,7.21999979019165,7.569999694824219,7.324999809265137,7.474999904632568
3,38.30965,-73.82714,2025/02/22 14:50:41,2025-02-22,Humpback whale,Megaptera novaeangliae,2,7.333889484405518,7.324999809265137,0.13127103447914124,7.159999847412109,7.569999694824219,7.21999979019165,7.419999599456787
7,38.30913,-73.82352,2025/02/22 14:50:47,2025-02-22,Humpback whale,Megaptera novaeangliae,2,7.333889484405518,7.324999809265137,0.13127103447914124,7.159999847412109,7.569999694824219,7.21999979019165,7.419999599456787
17,38.19171,-73.72512,2025/02/22 15:00:43,2025-02-22,Fin whale,Balaenoptera physalus,1,6.837777614593506,6.819999694824219,0.09375225007534027,6.724999904632568,6.984999656677246,6.75,6.904999732971191
18,38.16393,-73.73656,2025/02/22 15:01:47,2025-02-22,Fin whale,Balaenoptera physalus,1,6.687222003936768,6.75,0.17673128843307495,6.335000038146973,6.904999732971191,6.674999713897705,6.784999847412109
21,38.23487,-73.82935,2025/02/22 15:07:17,2025-02-22,Fin whale,Balaenoptera physalus,1,7.095555305480957,7.074999809265137,0.12634709477424622,6.904999732971191,7.324999809265137,6.989999771118164,7.174999713897705
22,38.24622,-73.83601,2025/02/22 15:07:43,2025-02-22,Fin whale,Balaenoptera physalus,1,7.193888187408447,7.174999713897705,0.1452541947364807,6.989999771118164,7.449999809265137,7.074999809265137,7.324999809265137
23,38.25892,-73.83506,2025/02/22 15:08:07,2025-02-22,Humpback whale,Megaptera novaeangliae,2,7.299444198608398,7.324999809265137,0.12971004843711853,7.024999618530273,7.449999809265137,7.21999979019165,7.419999599456787
31,38.39448,-73.49339,2025/02/22 10:05:28,2025-02-22,Humpback whale,Megaptera novaeangliae,1,6.892777919769287,6.960000038146973,0.16107480227947235,6.654999732971191,7.079999923706055,6.774999618530273,7.039999961853027
32,38.38323,-73.50716,2025/02/22 10:06:12,2025-02-22,Humpback whale,Megaptera novaeangliae,1,6.9474992752075195,6.984999656677246,0.11826884746551514,6.774999618530273,7.079999923706055,6.839999675750732,7.048749923706055
40,38.43284,-73.58463,2025/02/22 10:10:17,2025-02-22,Humpback whale,Megaptera novaeangliae,1,7.031110763549805,7.024999618530273,0.07343855500221252,6.859999656677246,7.114999771118164,7.009999752044678,7.085000038146973
41,38.43629,-73.57339,2025/02/22 10:15:58,2025-02-22,Humpback whale,Megaptera novaeangliae,1,7.045555114746094,7.074999809265137,0.07507205009460449,6.859999656677246,7.134999752044678,7.024999618530273,7.085000038146973
46,38.39316,-73.93637,2025/02/22 12:44:00,2025-02-22,North Atlantic right whale,Eubalaena glacialis,8,7.7894439697265625,7.835000038146973,0.13037219643592834,7.534999847412109,7.954999923706055,7.704999923706055,7.899999618530273
119,38.3245,-73.52472,2025/02/22 11:27:40,2025-02-22,Beaked whales,Hyperoodontidae,5,6.6737494468688965,6.675000190734863,0.07351648062467575,6.559999942779541,6.779999732971191,6.616249918937683,6.718749761581421
120,38.33333,-73.51281,2025/02/22 11:28:44,2025-02-22,Beaked whales,Hyperoodontidae,5,6.6737494468688965,6.675000190734863,0.07351648062467575,6.559999942779541,6.779999732971191,6.616249918937683,6.718749761581421
1,38.3193,-73.84825,2025/02/22 14:46:46,2025-02-22,Fin whale,Balaenoptera physalus,1,7.511110782623291,7.489999771118164,0.1621861606836319,7.319999694824219,7.784999847412109,7.37999963760376,7.654999732971191
2,38.31815,-73.85002,2025/02/22 14:50:02,2025-02-22,Fin whale,Balaenoptera physalus,1,7.511110782623291,7.489999771118164,0.1621861606836319,7.319999694824219,7.784999847412109,7.37999963760376,7.654999732971191
3,38.30965,-73.82714,2025/02/22 14:50:41,2025-02-22,Humpback whale,Megaptera novaeangliae,2,7.37000036239624,7.37999963760376,0.12076152116060257,7.114999771118164,7.539999961853027,7.319999694824219,7.480000019073486
7,38.30913,-73.82352,2025/02/22 14:50:47,2025-02-22,Humpback whale,Megaptera novaeangliae,2,7.37000036239624,7.37999963760376,0.12076152116060257,7.114999771118164,7.539999961853027,7.319999694824219,7.480000019073486
17,38.19171,-73.72512,2025/02/22 15:00:43,2025-02-22,Fin whale,Balaenoptera physalus,1,7.1016669273376465,7.105000019073486,0.19435077905654907,6.664999961853027,7.355000019073486,7.029999732971191,7.214999675750732
18,38.16393,-73.73656,2025/02/22 15:01:47,2025-02-22,Fin whale,Balaenoptera physalus,1,6.9311113357543945,6.964999675750732,0.2963178753852844,6.269999980926514,7.304999828338623,6.864999771118164,7.105000019073486
21,38.23487,-73.82935,2025/02/22 15:07:17,2025-02-22,Fin whale,Balaenoptera physalus,1,7.328887939453125,7.319999694824219,0.09085337817668915,7.214999675750732,7.539999961853027,7.284999847412109,7.355000019073486
22,38.24622,-73.83601,2025/02/22 15:07:43,2025-02-22,Fin whale,Balaenoptera physalus,1,7.402777671813965,7.329999923706055,0.15850187838077545,7.21999979019165,7.784999847412109,7.319999694824219,7.419999599456787
23,38.25892,-73.83506,2025/02/22 15:08:07,2025-02-22,Humpback whale,Megaptera novaeangliae,2,7.461111068725586,7.375,0.15989191830158234,7.315000057220459,7.784999847412109,7.329999923706055,7.539999961853027
31,38.39448,-73.49339,2025/02/22 10:05:28,2025-02-22,Humpback whale,Megaptera novaeangliae,1,,,,,,,
32,38.38323,-73.50716,2025/02/22 10:06:12,2025-02-22,Humpback whale,Megaptera novaeangliae,1,,,,,,,
40,38.43284,-73.58463,2025/02/22 10:10:17,2025-02-22,Humpback whale,Megaptera novaeangliae,1,,,,,,,
41,38.43629,-73.57339,2025/02/22 10:15:58,2025-02-22,Humpback whale,Megaptera novaeangliae,1,,,,,,,
46,38.39316,-73.93637,2025/02/22 12:44:00,2025-02-22,North Atlantic right whale,Eubalaena glacialis,8,7.569999694824219,7.782500267028809,0.42321693897247314,6.84499979019165,7.869999885559082,7.493749976158142,7.858749985694885
119,38.3245,-73.52472,2025/02/22 11:27:40,2025-02-22,Beaked whales,Hyperoodontidae,5,,,,,,,
120,38.33333,-73.51281,2025/02/22 11:28:44,2025-02-22,Beaked whales,Hyperoodontidae,5,,,,,,,
1,38.3193,-73.84825,2025/02/22 14:46:46,2025-02-22,Fin whale,Balaenoptera physalus,1,7.486666202545166,7.414999961853027,0.1626344919204712,7.259999752044678,7.759999752044678,7.394999980926514,7.634999752044678
2,38.31815,-73.85002,2025/02/22 14:50:02,2025-02-22,Fin whale,Balaenoptera physalus,1,7.486666202545166,7.414999961853027,0.1626344919204712,7.259999752044678,7.759999752044678,7.394999980926514,7.634999752044678
3,38.30965,-73.82714,2025/02/22 14:50:41,2025-02-22,Humpback whale,Megaptera novaeangliae,2,7.345554828643799,7.394999980926514,0.11550483852624893,7.09499979019165,7.494999885559082,7.269999980926514,7.414999961853027
7,38.30913,-73.82352,2025/02/22 14:50:47,2025-02-22,Humpback whale,Megaptera novaeangliae,2,7.345554828643799,7.394999980926514,0.11550483852624893,7.09499979019165,7.494999885559082,7.269999980926514,7.414999961853027
17,38.19171,-73.72512,2025/02/22 15:00:43,2025-02-22,Fin whale,Balaenoptera physalus,1,7.05555534362793,7.045000076293945,0.2001173049211502,6.609999656677246,7.335000038146973,7.014999866485596,7.170000076293945
18,38.16393,-73.73656,2025/02/22 15:01:47,2025-02-22,Fin whale,Balaenoptera physalus,1,6.877222061157227,6.904999732971191,0.3206687271595001,6.114999771118164,7.239999771118164,6.875,7.045000076293945
21,38.23487,-73.82935,2025/02/22 15:07:17,2025-02-22,Fin whale,Balaenoptera physalus,1,7.298888206481934,7.294999599456787,0.0903012678027153,7.170000076293945,7.494999885559082,7.259999752044678,7.335000038146973
22,38.24622,-73.83601,2025/02/22 15:07:43,2025-02-22,Fin whale,Balaenoptera physalus,1,7.37333345413208,7.309999942779541,0.15871009230613708,7.194999694824219,7.759999752044678,7.289999961853027,7.394999980926514
23,38.25892,-73.83506,2025/02/22 15:08:07,2025-02-22,Humpback whale,Megaptera novaeangliae,2,7.428332805633545,7.359999656677246,0.16095198690891266,7.259999752044678,7.759999752044678,7.309999942779541,7.494999885559082
31,38.39448,-73.49339,2025/02/22 10:05:28,2025-02-22,Humpback whale,Megaptera novaeangliae,1,,,,,,,
32,38.38323,-73.50716,2025/02/22 10:06:12,2025-02-22,Humpback whale,Megaptera novaeangliae,1,,,,,,,
40,38.43284,-73.58463,2025/02/22 10:10:17,2025-02-22,Humpback whale,Megaptera novaeangliae,1,,,,,,,
41,38.43629,-73.57339,2025/02/22 10:15:58,2025-02-22,Humpback whale,Megaptera novaeangliae,1,,,,,,,
46,38.39316,-73.93637,2025/02/22 12:44:00,2025-02-22,North Atlantic right whale,Eubalaena glacialis,8,7.553750038146973,7.767499923706055,0.42535829544067383,6.824999809265137,7.855000019073486,7.477499723434448,7.843749761581421
119,38.3245,-73.52472,2025/02/22 11:27:40,2025-02-22,Beaked whales,Hyperoodontidae,5,,,,,,,
120,38.33333,-73.51281,2025/02/22 11:28:44,2025-02-22,Beaked whales,Hyperoodontidae,5,,,,,,,
1,38.3193,-73.84825,2025/02/22 14:46:46,2025-02-22,Fin whale,Balaenoptera physalus,1,7.844444274902344,7.869999885559082,0.0727417916059494,7.704999923706055,7.940000057220459,7.794999599456787,7.894999980926514
2,38.31815,-73.85002,2025/02/22 14:50:02,2025-02-22,Fin whale,Balaenoptera physalus,1,7.844444274902344,7.869999885559082,0.0727417916059494,7.704999923706055,7.940000057220459,7.794999599456787,7.894999980926514
3,38.30965,-73.82714,2025/02/22 14:50:41,2025-02-22,Humpback whale,Megaptera novaeangliae,2,7.752777099609375,7.774999618530273,0.11331155151128769,7.534999847412109,7.929999828338623,7.694999694824219,7.819999694824219
7,38.30913,-73.82352,2025/02/22 14:50:47,2025-02-22,Humpback whale,Megaptera novaeangliae,2,7.752777099609375,7.774999618530273,0.11331155151128769,7.534999847412109,7.929999828338623,7.694999694824219,7.819999694824219
17,38.19171,-73.72512,2025/02/22 15:00:43,2025-02-22,Fin whale,Balaenoptera physalus,1,7.513333797454834,7.5,0.04570433869957924,7.444999694824219,7.59499979019165,7.494999885559082,7.549999713897705
18,38.16393,-73.73656,2025/02/22 15:01:47,2025-02-22,Fin whale,Balaenoptera physalus,1,7.4988884925842285,7.494999885559082,0.04611444100737572,7.434999942779541,7.59499979019165,7.484999656677246,7.5
21,38.23487,-73.82935,2025/02/22 15:07:17,2025-02-22,Fin whale,Balaenoptera physalus,1,7.541111469268799,7.484999656677246,0.10956419259309769,7.460000038146973,7.774999618530273,7.46999979019165,7.534999847412109
22,38.24622,-73.83601,2025/02/22 15:07:43,2025-02-22,Fin whale,Balaenoptera physalus,1,7.585555076599121,7.484999656677246,0.15422648191452026,7.460000038146973,7.894999980926514,7.464999675750732,7.704999923706055
23,38.25892,-73.83506,2025/02/22 15:08:07,2025-02-22,Humpback whale,Megaptera novaeangliae,2,7.732778072357178,7.774999618530273,0.1840909868478775,7.460000038146973,7.940000057220459,7.539999961853027,7.894999980926514
31,38.39448,-73.49339,2025/02/22 10:05:28,2025-02-22,Humpback whale,Megaptera novaeangliae,1,7.27055549621582,7.424999713897705,0.40699055790901184,6.389999866485596,7.569999694824219,7.37999963760376,7.539999961853027
32,38.38323,-73.50716,2025/02/22 10:06:12,2025-02-22,Humpback whale,Megaptera novaeangliae,1,7.52388858795166,7.549999713897705,0.06765017658472061,7.384999752044678,7.59499979019165,7.514999866485596,7.569999694824219
40,38.43284,-73.58463,2025/02/22 10:10:17,2025-02-22,Humpback whale,Megaptera novaeangliae,1,7.59999942779541,7.59499979019165,0.0466071255505085,7.529999732971191,7.674999713897705,7.574999809265137,7.634999752044678
41,38.43629,-73.57339,2025/02/22 10:15:58,2025-02-22,Humpback whale,Megaptera novaeangliae,1,7.583333492279053,7.574999809265137,0.03231789916753769,7.529999732971191,7.639999866485596,7.559999942779541,7.59499979019165
46,38.39316,-73.93637,2025/02/22 12:44:00,2025-02-22,North Atlantic right whale,Eubalaena glacialis,8,7.97944450378418,7.974999904632568,0.11591280996799469,7.815000057220459,8.184999465942383,7.87999963760376,8.03499984741211
119,38.3245,-73.52472,2025/02/22 11:27:40,2025-02-22,Beaked whales,Hyperoodontidae,5,7.388332843780518,7.5,0.2218608409166336,6.839999675750732,7.549999713897705,7.384999752044678,7.519999980926514
120,38.33333,-73.51281,2025/02/22 11:28:44,2025-02-22,Beaked whales,Hyperoodontidae,5,7.388332843780518,7.5,0.2218608409166336,6.839999675750732,7.549999713897705,7.384999752044678,7.519999980926514
1,38.3193,-73.84825,2025/02/22 14:46:46,2025-02-22,Fin whale,Balaenoptera physalus,1,7.848888874053955,7.875,0.07237163186073303,7.710000038146973,7.944999694824219,7.799999713897705,7.894999980926514
2,38.31815,-73.85002,2025/02/22 14:50:02,2025-02-22,Fin whale,Balaenoptera physalus,1,7.848888874053955,7.875,0.07237163186073303,7.710000038146973,7.944999694824219,7.799999713897705,7.894999980926514
3,38.30965,-73.82714,2025/02/22 14:50:41,2025-02-22,Humpback whale,Megaptera novaeangliae,2,7.755556106567383,7.779999732971191,0.11548077315092087,7.534999847412109,7.934999942779541,7.690000057220459,7.824999809265137
7,38.30913,-73.82352,2025/02/22 14:50:47,2025-02-22,Humpback whale,Megaptera novaeangliae,2,7.755556106567383,7.779999732971191,0.11548077315092087,7.534999847412109,7.934999942779541,7.690000057220459,7.824999809265137
17,38.19171,-73.72512,2025/02/22 15:00:43,2025-02-22,Fin whale,Balaenoptera physalus,1,7.508889198303223,7.494999885559082,0.045017123222351074,7.440000057220459,7.59499979019165,7.489999771118164,7.539999961853027
18,38.16393,-73.73656,2025/02/22 15:01:47,2025-02-22,Fin whale,Balaenoptera physalus,1,7.493888854980469,7.489999771118164,0.04706834629178047,7.429999828338623,7.59499979019165,7.474999904632568,7.5
21,38.23487,-73.82935,2025/02/22 15:07:17,2025-02-22,Fin whale,Balaenoptera physalus,1,7.542222023010254,7.484999656677246,0.11158233880996704,7.460000038146973,7.779999732971191,7.46999979019165,7.534999847412109
22,38.24622,-73.83601,2025/02/22 15:07:43,2025-02-22,Fin whale,Balaenoptera physalus,1,7.586666584014893,7.484999656677246,0.155098557472229,7.460000038146973,7.894999980926514,7.46999979019165,7.710000038146973
23,38.25892,-73.83506,2025/02/22 15:08:07,2025-02-22,Humpback whale,Megaptera novaeangliae,2,7.734999656677246,7.779999732971191,0.18636876344680786,7.460000038146973,7.944999694824219,7.534999847412109,7.894999980926514
31,38.39448,-73.49339,2025/02/22 10:05:28,2025-02-22,Humpback whale,Megaptera novaeangliae,1,7.261110782623291,7.414999961853027,0.40812432765960693,6.37999963760376,7.565000057220459,7.349999904632568,7.534999847412109
32,38.38323,-73.50716,2025/02/22 10:06:12,2025-02-22,Humpback whale,Megaptera novaeangliae,1,7.518888473510742,7.544999599456787,0.06891129910945892,7.37999963760376,7.589999675750732,7.509999752044678,7.565000057220459
40,38.43284,-73.58463,2025/02/22 10:10:17,2025-02-22,Humpback whale,Megaptera novaeangliae,1,7.59999942779541,7.59499979019165,0.047609563916921616,7.529999732971191,7.679999828338623,7.574999809265137,7.634999752044678
41,38.43629,-73.57339,2025/02/22 10:15:58,2025-02-22,Humpback whale,Megaptera novaeangliae,1,7.581111431121826,7.574999809265137,0.033231355249881744,7.529999732971191,7.639999866485596,7.554999828338623,7.59499979019165
46,38.39316,-73.93637,2025/02/22 12:44:00,2025-02-22,North Atlantic right whale,Eubalaena glacialis,8,7.986111164093018,7.980000019073486,0.11651841551065445,7.824999809265137,8.1899995803833,7.884999752044678,8.039999961853027
119,38.3245,-73.52472,2025/02/22 11:27:40,2025-02-22,Beaked whales,Hyperoodontidae,5,7.372777462005615,7.484999656677246,0.22718210518360138,6.809999942779541,7.544999599456787,7.37999963760376,7.509999752044678
120,38.33333,-73.51281,2025/02/22 11:28:44,2025-02-22,Beaked whales,Hyperoodontidae,5,7.372777462005615,7.484999656677246,0.22718210518360138,6.809999942779541,7.544999599456787,7.37999963760376,7.509999752044678
4,38.80395,-72.99513,2025/02/26 11:45:26,2025-02-26,Humpback whale,Megaptera novaeangliae,2,6.973333358764648,6.980000019073486,0.07310563325881958,6.855000019073486,7.109999656677246,6.924999713897705,7.029999732971191
6,38.81244,-73.00711,2025/02/26 11:46:17,2025-02-26,Humpback whale,Megaptera novaeangliae,2,7.063333511352539,6.984999656677246,0.19399315118789673,6.909999847412109,7.579999923706055,6.954999923706055,7.09499979019165
13,38.82722,-72.97477,2025/02/26 11:48:18,2025-02-26,Fin whale,Balaenoptera physalus,1,6.973333358764648,6.980000019073486,0.07310563325881958,6.855000019073486,7.109999656677246,6.924999713897705,7.029999732971191
14,38.90338,-73.09153,2025/02/26 11:53:01,2025-02-26,Fin whale,Balaenoptera physalus,1,7.549999713897705,7.579999923706055,0.2128119021654129,7.199999809265137,7.835000038146973,7.389999866485596,7.730000019073486
38,38.7406,-73.24345,2025/02/26 10:10:32,2025-02-26,Fin whale,Balaenoptera physalus,1,7.210555076599121,7.204999923706055,0.09793543070554733,7.014999866485596,7.364999771118164,7.179999828338623,7.244999885559082
39,38.75009,-73.23051,2025/02/26 10:11:28,2025-02-26,Fin whale,Balaenoptera physalus,1,7.154999732971191,7.144999980926514,0.13316652178764343,6.954999923706055,7.364999771118164,7.069999694824219,7.244999885559082
45,38.72615,-73.08132,2025/02/26 10:17:44,2025-02-26,Fin whale,Balaenoptera physalus,2,7.108333110809326,7.079999923706055,0.13719406723976135,6.949999809265137,7.364999771118164,6.984999656677246,7.194999694824219
4,38.80395,-72.99513,2025/02/26 11:45:26,2025-02-26,Humpback whale,Megaptera novaeangliae,2,7.017777919769287,7.029999732971191,0.08100451529026031,6.889999866485596,7.164999961853027,6.960000038146973,7.045000076293945
